resource_id,timestamp,day_index,hour_of_day,weekday,cpu_percent,memory_percent,gpu_percent,network_mb,request_count,latency_ms,error_rate_percent,running
AWS-QA-013,2026-09-01T00:00:00Z,0,0,1,0.77,9.65,0,156.9,0,0,0.1,True
AWS-QA-013,2026-09-01T01:00:00Z,0,1,1,2.66,13.26,0,101.2,0,0,0.1,True
AWS-QA-013,2026-09-01T02:00:00Z,0,2,1,1.55,9.26,0,94.9,0,0,0.1,True
AWS-QA-013,2026-09-01T03:00:00Z,0,3,1,4.81,14.12,0,110.8,0,0,0.1,True
AWS-QA-013,2026-09-01T04:00:00Z,0,4,1,6.56,7.11,0,87.6,0,0,0.1,True
AWS-QA-013,2026-09-01T05:00:00Z,0,5,1,0.83,10.94,0,89.2,0,0,0.1,True
AWS-QA-013,2026-09-01T06:00:00Z,0,6,1,5.19,7.21,0,101.3,0,0,0.1,True
AWS-QA-013,2026-09-01T07:00:00Z,0,7,1,5.06,3.8,0,163.6,0,0,0.1,True
AWS-QA-013,2026-09-01T08:00:00Z,0,8,1,2.15,3.92,0,104.7,0,0,0.1,True
AWS-QA-013,2026-09-01T09:00:00Z,0,9,1,3.1,9.75,0,129.7,0,0,0.1,True
AWS-QA-013,2026-09-01T10:00:00Z,0,10,1,5.24,10.89,0,113.5,0,0,0.1,True
AWS-QA-013,2026-09-01T11:00:00Z,0,11,1,2.69,15.33,0,55.6,0,0,0.1,True
AWS-QA-013,2026-09-01T12:00:00Z,0,12,1,3.42,10.2,0,124.4,0,0,0.1,True
AWS-QA-013,2026-09-01T13:00:00Z,0,13,1,0.47,4.77,0,104.7,0,0,0.1,True
AWS-QA-013,2026-09-01T14:00:00Z,0,14,1,3.84,14.47,0,61.9,0,0,0.1,True
AWS-QA-013,2026-09-01T15:00:00Z,0,15,1,6.46,17.1,0,88.7,0,0,0.1,True
AWS-QA-013,2026-09-01T16:00:00Z,0,16,1,0.0,8.78,0,100.4,0,0,0.1,True
AWS-QA-013,2026-09-01T17:00:00Z,0,17,1,4.69,8.23,0,146.7,0,0,0.1,True
AWS-QA-013,2026-09-01T18:00:00Z,0,18,1,0.0,4.78,0,133.2,0,0,0.1,True
AWS-QA-013,2026-09-01T19:00:00Z,0,19,1,0.0,9.39,0,193.5,0,0,0.1,True
AWS-QA-013,2026-09-01T20:00:00Z,0,20,1,2.96,6.64,0,98.3,0,0,0.1,True
AWS-QA-013,2026-09-01T21:00:00Z,0,21,1,2.85,10.48,0,119.9,0,0,0.1,True
AWS-QA-013,2026-09-01T22:00:00Z,0,22,1,0.0,15.06,0,107.4,0,0,0.1,True
AWS-QA-013,2026-09-01T23:00:00Z,0,23,1,5.18,8.12,0,138.6,0,0,0.1,True
AWS-QA-013,2026-09-02T00:00:00Z,1,0,2,2.23,10.83,0,72.0,0,0,0.1,True
AWS-QA-013,2026-09-02T01:00:00Z,1,1,2,0.01,12.06,0,86.7,0,0,0.1,True
AWS-QA-013,2026-09-02T02:00:00Z,1,2,2,0.44,8.07,0,121.0,0,0,0.1,True
AWS-QA-013,2026-09-02T03:00:00Z,1,3,2,1.11,9.65,0,100.5,0,0,0.1,True
AWS-QA-013,2026-09-02T04:00:00Z,1,4,2,0.0,5.59,0,110.1,0,0,0.1,True
AWS-QA-013,2026-09-02T05:00:00Z,1,5,2,0.79,13.17,0,129.0,0,0,0.1,True
AWS-QA-013,2026-09-02T06:00:00Z,1,6,2,5.16,15.46,0,97.5,0,0,0.1,True
AWS-QA-013,2026-09-02T07:00:00Z,1,7,2,4.95,8.25,0,173.6,0,0,0.1,True
AWS-QA-013,2026-09-02T08:00:00Z,1,8,2,8.95,10.04,0,111.6,0,0,0.1,True
AWS-QA-013,2026-09-02T09:00:00Z,1,9,2,7.08,9.56,0,80.3,0,0,0.1,True
AWS-QA-013,2026-09-02T10:00:00Z,1,10,2,5.62,10.24,0,105.5,0,0,0.1,True
AWS-QA-013,2026-09-02T11:00:00Z,1,11,2,0.5,4.85,0,107.1,0,0,0.1,True
AWS-QA-013,2026-09-02T12:00:00Z,1,12,2,5.71,9.32,0,143.1,0,0,0.1,True
AWS-QA-013,2026-09-02T13:00:00Z,1,13,2,0.89,6.84,0,98.0,0,0,0.1,True
AWS-QA-013,2026-09-02T14:00:00Z,1,14,2,2.75,12.31,0,76.8,0,0,0.1,True
AWS-QA-013,2026-09-02T15:00:00Z,1,15,2,7.1,15.9,0,98.8,0,0,0.1,True
AWS-QA-013,2026-09-02T16:00:00Z,1,16,2,6.75,6.83,0,132.3,0,0,0.1,True
AWS-QA-013,2026-09-02T17:00:00Z,1,17,2,6.14,12.59,0,99.5,0,0,0.1,True
AWS-QA-013,2026-09-02T18:00:00Z,1,18,2,0.0,8.07,0,81.2,0,0,0.1,True
AWS-QA-013,2026-09-02T19:00:00Z,1,19,2,0.07,10.37,0,87.4,0,0,0.1,True
AWS-QA-013,2026-09-02T20:00:00Z,1,20,2,0.53,6.82,0,78.5,0,0,0.1,True
AWS-QA-013,2026-09-02T21:00:00Z,1,21,2,6.36,8.02,0,84.6,0,0,0.1,True
AWS-QA-013,2026-09-02T22:00:00Z,1,22,2,1.63,11.02,0,113.7,0,0,0.1,True
AWS-QA-013,2026-09-02T23:00:00Z,1,23,2,0.0,13.06,0,143.1,0,0,0.1,True
AWS-QA-013,2026-09-03T00:00:00Z,2,0,3,0.0,7.08,0,86.5,0,0,0.1,True
AWS-QA-013,2026-09-03T01:00:00Z,2,1,3,0.73,10.67,0,41.6,0,0,0.1,True
AWS-QA-013,2026-09-03T02:00:00Z,2,2,3,0.0,14.62,0,72.2,0,0,0.1,True
AWS-QA-013,2026-09-03T03:00:00Z,2,3,3,6.73,11.07,0,45.7,0,0,0.1,True
AWS-QA-013,2026-09-03T04:00:00Z,2,4,3,4.91,9.65,0,86.3,0,0,0.1,True
AWS-QA-013,2026-09-03T05:00:00Z,2,5,3,3.73,11.42,0,121.2,0,0,0.1,True
AWS-QA-013,2026-09-03T06:00:00Z,2,6,3,6.53,11.22,0,58.7,0,0,0.1,True
AWS-QA-013,2026-09-03T07:00:00Z,2,7,3,1.58,18.83,0,121.7,0,0,0.1,True
AWS-QA-013,2026-09-03T08:00:00Z,2,8,3,10.11,14.19,0,107.3,0,0,0.1,True
AWS-QA-013,2026-09-03T09:00:00Z,2,9,3,3.9,9.89,0,47.9,0,0,0.1,True
AWS-QA-013,2026-09-03T10:00:00Z,2,10,3,3.05,13.63,0,82.0,0,0,0.1,True
AWS-QA-013,2026-09-03T11:00:00Z,2,11,3,4.24,12.55,0,72.7,0,0,0.1,True
AWS-QA-013,2026-09-03T12:00:00Z,2,12,3,1.65,6.95,0,75.3,0,0,0.1,True
AWS-QA-013,2026-09-03T13:00:00Z,2,13,3,0.0,7.3,0,142.6,0,0,0.1,True
AWS-QA-013,2026-09-03T14:00:00Z,2,14,3,0.25,10.38,0,84.9,0,0,0.1,True
AWS-QA-013,2026-09-03T15:00:00Z,2,15,3,6.54,13.93,0,125.9,0,0,0.1,True
AWS-QA-013,2026-09-03T16:00:00Z,2,16,3,3.92,9.31,0,64.2,0,0,0.1,True
AWS-QA-013,2026-09-03T17:00:00Z,2,17,3,8.83,7.72,0,119.9,0,0,0.1,True
AWS-QA-013,2026-09-03T18:00:00Z,2,18,3,6.18,8.33,0,131.1,0,0,0.1,True
AWS-QA-013,2026-09-03T19:00:00Z,2,19,3,5.29,15.18,0,85.9,0,0,0.1,True
AWS-QA-013,2026-09-03T20:00:00Z,2,20,3,0.0,8.48,0,106.3,0,0,0.1,True
AWS-QA-013,2026-09-03T21:00:00Z,2,21,3,3.17,8.82,0,42.7,0,0,0.1,True
AWS-QA-013,2026-09-03T22:00:00Z,2,22,3,4.41,15.92,0,113.9,0,0,0.1,True
AWS-QA-013,2026-09-03T23:00:00Z,2,23,3,4.83,11.72,0,111.9,0,0,0.1,True
AWS-QA-013,2026-09-04T00:00:00Z,3,0,4,5.79,11.19,0,90.6,0,0,0.1,True
AWS-QA-013,2026-09-04T01:00:00Z,3,1,4,0.61,9.25,0,109.4,0,0,0.1,True
AWS-QA-013,2026-09-04T02:00:00Z,3,2,4,2.05,10.94,0,113.2,0,0,0.1,True
AWS-QA-013,2026-09-04T03:00:00Z,3,3,4,5.5,13.85,0,102.3,0,0,0.1,True
AWS-QA-013,2026-09-04T04:00:00Z,3,4,4,0.0,8.96,0,101.3,0,0,0.1,True
AWS-QA-013,2026-09-04T05:00:00Z,3,5,4,0.0,14.17,0,104.3,0,0,0.1,True
AWS-QA-013,2026-09-04T06:00:00Z,3,6,4,4.14,14.1,0,81.1,0,0,0.1,True
AWS-QA-013,2026-09-04T07:00:00Z,3,7,4,4.72,9.67,0,94.5,0,0,0.1,True
AWS-QA-013,2026-09-04T08:00:00Z,3,8,4,0.68,15.0,0,88.7,0,0,0.1,True
AWS-QA-013,2026-09-04T09:00:00Z,3,9,4,5.1,4.37,0,135.4,0,0,0.1,True
AWS-QA-013,2026-09-04T10:00:00Z,3,10,4,6.16,10.29,0,93.2,0,0,0.1,True
AWS-QA-013,2026-09-04T11:00:00Z,3,11,4,4.2,16.87,0,47.1,0,0,0.1,True
AWS-QA-013,2026-09-04T12:00:00Z,3,12,4,5.35,7.27,0,99.4,0,0,0.1,True
AWS-QA-013,2026-09-04T13:00:00Z,3,13,4,2.26,8.72,0,99.7,0,0,0.1,True
AWS-QA-013,2026-09-04T14:00:00Z,3,14,4,0.0,13.09,0,46.2,0,0,0.1,True
AWS-QA-013,2026-09-04T15:00:00Z,3,15,4,4.62,9.02,0,64.9,0,0,0.1,True
AWS-QA-013,2026-09-04T16:00:00Z,3,16,4,3.61,5.33,0,101.2,0,0,0.1,True
AWS-QA-013,2026-09-04T17:00:00Z,3,17,4,0.0,11.38,0,72.3,0,0,0.1,True
AWS-QA-013,2026-09-04T18:00:00Z,3,18,4,1.65,10.88,0,76.8,0,0,0.1,True
AWS-QA-013,2026-09-04T19:00:00Z,3,19,4,2.83,5.46,0,118.9,0,0,0.1,True
AWS-QA-013,2026-09-04T20:00:00Z,3,20,4,8.29,18.38,0,102.7,0,0,0.1,True
AWS-QA-013,2026-09-04T21:00:00Z,3,21,4,5.36,4.66,0,145.1,0,0,0.1,True
AWS-QA-013,2026-09-04T22:00:00Z,3,22,4,5.33,8.55,0,137.1,0,0,0.1,True
AWS-QA-013,2026-09-04T23:00:00Z,3,23,4,2.24,8.63,0,114.3,0,0,0.1,True
AWS-QA-013,2026-09-05T00:00:00Z,4,0,5,0.0,13.06,0,68.3,0,0,0.1,True
AWS-QA-013,2026-09-05T01:00:00Z,4,1,5,0.0,7.27,0,122.8,0,0,0.1,True
AWS-QA-013,2026-09-05T02:00:00Z,4,2,5,1.15,5.96,0,81.8,0,0,0.1,True
AWS-QA-013,2026-09-05T03:00:00Z,4,3,5,2.9,6.46,0,65.4,0,0,0.1,True
AWS-QA-013,2026-09-05T04:00:00Z,4,4,5,9.33,7.42,0,90.3,0,0,0.1,True
AWS-QA-013,2026-09-05T05:00:00Z,4,5,5,1.9,8.74,0,118.6,0,0,0.1,True
AWS-QA-013,2026-09-05T06:00:00Z,4,6,5,5.84,9.08,0,62.9,0,0,0.1,True
