resource_id,timestamp,day_index,hour_of_day,weekday,cpu_percent,memory_percent,gpu_percent,network_mb,request_count,latency_ms,error_rate_percent,running
AZURE-LEGACY-009,2026-09-01T00:00:00Z,0,0,1,7.91,20.76,0,98.7,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T01:00:00Z,0,1,1,1.74,17.94,0,164.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T02:00:00Z,0,2,1,9.14,13.64,0,67.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T03:00:00Z,0,3,1,4.14,22.01,0,90.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T04:00:00Z,0,4,1,5.01,15.52,0,90.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T05:00:00Z,0,5,1,11.7,12.96,0,135.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T06:00:00Z,0,6,1,7.37,19.62,0,147.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T07:00:00Z,0,7,1,7.25,15.05,0,102.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T08:00:00Z,0,8,1,6.72,11.03,0,146.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T09:00:00Z,0,9,1,12.74,12.51,0,38.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T10:00:00Z,0,10,1,5.02,18.31,0,81.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T11:00:00Z,0,11,1,10.64,17.46,0,84.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T12:00:00Z,0,12,1,13.64,16.29,0,97.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T13:00:00Z,0,13,1,7.28,13.54,0,118.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T14:00:00Z,0,14,1,9.95,19.62,0,170.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T15:00:00Z,0,15,1,13.97,20.48,0,121.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T16:00:00Z,0,16,1,10.4,16.6,0,160.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T17:00:00Z,0,17,1,10.43,12.88,0,66.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T18:00:00Z,0,18,1,6.35,12.99,0,150.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T19:00:00Z,0,19,1,7.65,18.92,0,91.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T20:00:00Z,0,20,1,3.58,12.07,0,72.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T21:00:00Z,0,21,1,8.04,17.56,0,118.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T22:00:00Z,0,22,1,2.53,16.0,0,69.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-01T23:00:00Z,0,23,1,8.2,17.44,0,64.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T00:00:00Z,1,0,2,9.9,23.02,0,125.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T01:00:00Z,1,1,2,6.51,15.05,0,93.7,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T02:00:00Z,1,2,2,4.72,16.76,0,65.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T03:00:00Z,1,3,2,1.33,16.66,0,100.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T04:00:00Z,1,4,2,5.29,12.15,0,108.7,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T05:00:00Z,1,5,2,4.03,15.58,0,152.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T06:00:00Z,1,6,2,8.95,11.89,0,61.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T07:00:00Z,1,7,2,7.46,11.87,0,39.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T08:00:00Z,1,8,2,8.6,16.96,0,113.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T09:00:00Z,1,9,2,12.79,15.8,0,80.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T10:00:00Z,1,10,2,13.55,20.59,0,85.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T11:00:00Z,1,11,2,8.94,12.59,0,74.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T12:00:00Z,1,12,2,12.61,9.58,0,113.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T13:00:00Z,1,13,2,13.93,10.61,0,70.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T14:00:00Z,1,14,2,12.24,15.57,0,115.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T15:00:00Z,1,15,2,11.58,19.79,0,90.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T16:00:00Z,1,16,2,9.05,12.81,0,122.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T17:00:00Z,1,17,2,12.09,17.9,0,118.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T18:00:00Z,1,18,2,0.94,12.58,0,69.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T19:00:00Z,1,19,2,4.55,14.74,0,130.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T20:00:00Z,1,20,2,10.6,15.12,0,92.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T21:00:00Z,1,21,2,4.88,16.27,0,106.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T22:00:00Z,1,22,2,9.42,18.4,0,30.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-02T23:00:00Z,1,23,2,6.54,20.15,0,86.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T00:00:00Z,2,0,3,10.42,15.08,0,105.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T01:00:00Z,2,1,3,3.59,12.7,0,121.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T02:00:00Z,2,2,3,9.65,16.08,0,63.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T03:00:00Z,2,3,3,7.13,19.77,0,152.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T04:00:00Z,2,4,3,6.05,11.02,0,125.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T05:00:00Z,2,5,3,6.17,18.83,0,108.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T06:00:00Z,2,6,3,4.35,16.17,0,139.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T07:00:00Z,2,7,3,6.55,12.9,0,52.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T08:00:00Z,2,8,3,4.68,14.77,0,124.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T09:00:00Z,2,9,3,8.64,20.66,0,59.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T10:00:00Z,2,10,3,18.99,21.18,0,104.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T11:00:00Z,2,11,3,7.06,15.83,0,88.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T12:00:00Z,2,12,3,8.18,16.87,0,75.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T13:00:00Z,2,13,3,9.86,15.39,0,82.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T14:00:00Z,2,14,3,18.23,14.39,0,113.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T15:00:00Z,2,15,3,12.44,17.06,0,112.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T16:00:00Z,2,16,3,14.64,16.8,0,106.7,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T17:00:00Z,2,17,3,12.18,15.58,0,72.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T18:00:00Z,2,18,3,6.82,16.72,0,112.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T19:00:00Z,2,19,3,7.54,15.3,0,98.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T20:00:00Z,2,20,3,5.34,16.94,0,93.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T21:00:00Z,2,21,3,7.54,19.0,0,78.7,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T22:00:00Z,2,22,3,8.79,16.1,0,160.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-03T23:00:00Z,2,23,3,6.35,18.09,0,100.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T00:00:00Z,3,0,4,2.84,14.44,0,126.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T01:00:00Z,3,1,4,5.7,9.34,0,99.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T02:00:00Z,3,2,4,3.72,16.4,0,146.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T03:00:00Z,3,3,4,9.31,20.61,0,83.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T04:00:00Z,3,4,4,6.57,12.87,0,79.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T05:00:00Z,3,5,4,4.22,12.08,0,141.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T06:00:00Z,3,6,4,0.72,20.11,0,137.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T07:00:00Z,3,7,4,8.5,12.66,0,52.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T08:00:00Z,3,8,4,5.35,17.88,0,100.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T09:00:00Z,3,9,4,8.87,19.44,0,150.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T10:00:00Z,3,10,4,11.32,16.33,0,54.7,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T11:00:00Z,3,11,4,10.76,17.53,0,110.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T12:00:00Z,3,12,4,10.48,15.18,0,86.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T13:00:00Z,3,13,4,11.16,17.27,0,41.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T14:00:00Z,3,14,4,11.78,17.05,0,82.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T15:00:00Z,3,15,4,10.56,14.65,0,85.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T16:00:00Z,3,16,4,12.02,16.39,0,37.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T17:00:00Z,3,17,4,13.96,15.13,0,158.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T18:00:00Z,3,18,4,3.43,13.4,0,93.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T19:00:00Z,3,19,4,8.24,10.15,0,75.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T20:00:00Z,3,20,4,8.77,13.16,0,141.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T21:00:00Z,3,21,4,5.64,13.3,0,118.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T22:00:00Z,3,22,4,11.82,17.25,0,137.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-04T23:00:00Z,3,23,4,12.03,13.23,0,128.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T00:00:00Z,4,0,5,2.43,17.27,0,97.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T01:00:00Z,4,1,5,10.73,19.52,0,117.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T02:00:00Z,4,2,5,7.9,17.53,0,101.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T03:00:00Z,4,3,5,6.82,20.33,0,146.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T04:00:00Z,4,4,5,6.58,16.71,0,102.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T05:00:00Z,4,5,5,2.16,14.99,0,148.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T06:00:00Z,4,6,5,4.75,22.34,0,135.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T07:00:00Z,4,7,5,8.2,17.68,0,72.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T08:00:00Z,4,8,5,6.2,20.32,0,81.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T09:00:00Z,4,9,5,15.18,11.87,0,64.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T10:00:00Z,4,10,5,17.7,15.96,0,83.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T11:00:00Z,4,11,5,16.09,19.74,0,127.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T12:00:00Z,4,12,5,10.29,15.14,0,109.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T13:00:00Z,4,13,5,14.08,14.47,0,105.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T14:00:00Z,4,14,5,12.8,19.86,0,122.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T15:00:00Z,4,15,5,7.48,15.36,0,72.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T16:00:00Z,4,16,5,13.7,18.77,0,103.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T17:00:00Z,4,17,5,11.2,16.21,0,106.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T18:00:00Z,4,18,5,5.08,12.34,0,38.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T19:00:00Z,4,19,5,10.8,17.49,0,110.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T20:00:00Z,4,20,5,10.8,12.23,0,47.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T21:00:00Z,4,21,5,8.15,16.88,0,48.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T22:00:00Z,4,22,5,8.08,14.8,0,75.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-05T23:00:00Z,4,23,5,6.0,8.68,0,82.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T00:00:00Z,5,0,6,4.89,17.67,0,95.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T01:00:00Z,5,1,6,8.92,8.35,0,74.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T02:00:00Z,5,2,6,8.67,15.07,0,125.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T03:00:00Z,5,3,6,1.59,18.19,0,80.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T04:00:00Z,5,4,6,4.79,18.97,0,134.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T05:00:00Z,5,5,6,10.1,22.12,0,138.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T06:00:00Z,5,6,6,4.61,16.42,0,89.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T07:00:00Z,5,7,6,13.09,19.31,0,94.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T08:00:00Z,5,8,6,9.63,12.3,0,107.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T09:00:00Z,5,9,6,9.19,10.93,0,123.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T10:00:00Z,5,10,6,14.73,17.37,0,94.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T11:00:00Z,5,11,6,8.2,12.52,0,70.9,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T12:00:00Z,5,12,6,11.3,19.23,0,131.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T13:00:00Z,5,13,6,7.05,13.92,0,78.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T14:00:00Z,5,14,6,4.41,17.7,0,92.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T15:00:00Z,5,15,6,11.66,20.04,0,102.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T16:00:00Z,5,16,6,10.71,17.72,0,131.8,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T17:00:00Z,5,17,6,12.89,18.07,0,95.6,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T18:00:00Z,5,18,6,6.75,16.34,0,77.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T19:00:00Z,5,19,6,5.3,20.13,0,160.2,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T20:00:00Z,5,20,6,11.78,12.03,0,57.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T21:00:00Z,5,21,6,3.43,16.4,0,15.7,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T22:00:00Z,5,22,6,5.23,20.22,0,129.5,0,0,0.1,True
AZURE-LEGACY-009,2026-09-06T23:00:00Z,5,23,6,5.47,14.7,0,117.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T00:00:00Z,6,0,0,9.81,14.4,0,93.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T01:00:00Z,6,1,0,5.3,12.01,0,93.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T02:00:00Z,6,2,0,6.11,12.22,0,119.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T03:00:00Z,6,3,0,8.45,18.09,0,77.0,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T04:00:00Z,6,4,0,1.05,17.4,0,80.1,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T05:00:00Z,6,5,0,4.33,12.23,0,91.7,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T06:00:00Z,6,6,0,11.73,14.48,0,67.3,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T07:00:00Z,6,7,0,8.96,16.52,0,36.4,0,0,0.1,True
AZURE-LEGACY-009,2026-09-07T08:00:00Z,6,8,0,8.99,22.39,0,22.0,0,0,0.1,True
