resource_id,timestamp,day_index,hour_of_day,weekday,cpu_percent,memory_percent,gpu_percent,network_mb,request_count,latency_ms,error_rate_percent,running
ec2-005,2026-09-01T00:00:00Z,0,0,1,9.69,19.74,0,83.1,0,0,0.1,True
ec2-005,2026-09-01T01:00:00Z,0,1,1,6.16,23.39,0,100.9,0,0,0.1,True
ec2-005,2026-09-01T02:00:00Z,0,2,1,13.62,18.42,0,87.0,0,0,0.1,True
ec2-005,2026-09-01T03:00:00Z,0,3,1,11.45,15.13,0,63.6,0,0,0.1,True
ec2-005,2026-09-01T04:00:00Z,0,4,1,12.29,16.48,0,45.4,0,0,0.1,True
ec2-005,2026-09-01T05:00:00Z,0,5,1,14.61,15.82,0,105.5,0,0,0.1,True
ec2-005,2026-09-01T06:00:00Z,0,6,1,9.21,11.57,0,92.0,0,0,0.1,True
ec2-005,2026-09-01T07:00:00Z,0,7,1,10.35,21.06,0,127.1,0,0,0.1,True
ec2-005,2026-09-01T08:00:00Z,0,8,1,7.84,22.14,0,79.3,0,0,0.1,True
ec2-005,2026-09-01T09:00:00Z,0,9,1,4.77,16.11,0,56.1,0,0,0.1,True
ec2-005,2026-09-01T10:00:00Z,0,10,1,12.03,15.46,0,108.2,0,0,0.1,True
ec2-005,2026-09-01T11:00:00Z,0,11,1,8.2,19.69,0,140.9,0,0,0.1,True
ec2-005,2026-09-01T12:00:00Z,0,12,1,7.68,21.83,0,101.1,0,0,0.1,True
ec2-005,2026-09-01T13:00:00Z,0,13,1,8.54,26.9,0,56.8,0,0,0.1,True
ec2-005,2026-09-01T14:00:00Z,0,14,1,12.87,21.97,0,85.6,0,0,0.1,True
ec2-005,2026-09-01T15:00:00Z,0,15,1,13.89,14.46,0,84.3,0,0,0.1,True
ec2-005,2026-09-01T16:00:00Z,0,16,1,5.37,21.24,0,66.6,0,0,0.1,True
ec2-005,2026-09-01T17:00:00Z,0,17,1,10.3,19.44,0,85.6,0,0,0.1,True
ec2-005,2026-09-01T18:00:00Z,0,18,1,10.17,19.19,0,67.3,0,0,0.1,True
ec2-005,2026-09-01T19:00:00Z,0,19,1,17.4,18.54,0,33.5,0,0,0.1,True
ec2-005,2026-09-01T20:00:00Z,0,20,1,6.47,16.2,0,124.8,0,0,0.1,True
ec2-005,2026-09-01T21:00:00Z,0,21,1,9.96,21.2,0,88.9,0,0,0.1,True
ec2-005,2026-09-01T22:00:00Z,0,22,1,8.16,18.89,0,97.6,0,0,0.1,True
ec2-005,2026-09-01T23:00:00Z,0,23,1,11.51,21.01,0,115.0,0,0,0.1,True
ec2-005,2026-09-02T00:00:00Z,1,0,2,10.5,22.65,0,108.6,0,0,0.1,True
ec2-005,2026-09-02T01:00:00Z,1,1,2,10.08,23.57,0,80.0,0,0,0.1,True
ec2-005,2026-09-02T02:00:00Z,1,2,2,6.43,16.44,0,105.5,0,0,0.1,True
ec2-005,2026-09-02T03:00:00Z,1,3,2,3.44,21.39,0,96.7,0,0,0.1,True
ec2-005,2026-09-02T04:00:00Z,1,4,2,12.4,17.98,0,93.9,0,0,0.1,True
ec2-005,2026-09-02T05:00:00Z,1,5,2,12.37,24.15,0,79.6,0,0,0.1,True
ec2-005,2026-09-02T06:00:00Z,1,6,2,9.55,20.88,0,111.2,0,0,0.1,True
