resource_id,timestamp,day_index,hour_of_day,weekday,cpu_percent,memory_percent,gpu_percent,network_mb,request_count,latency_ms,error_rate_percent,running
gpu-002,2026-09-01T00:00:00Z,0,0,1,5.71,13.83,3.68,110.0,0,0,0.1,True
gpu-002,2026-09-01T01:00:00Z,0,1,1,5.49,14.8,1.44,111.8,0,0,0.1,True
gpu-002,2026-09-01T02:00:00Z,0,2,1,5.73,19.83,2.59,45.8,0,0,0.1,True
gpu-002,2026-09-01T03:00:00Z,0,3,1,7.85,16.04,2.49,54.1,0,0,0.1,True
gpu-002,2026-09-01T04:00:00Z,0,4,1,10.61,19.24,0.27,86.3,0,0,0.1,True
gpu-002,2026-09-01T05:00:00Z,0,5,1,10.99,13.57,3.26,91.5,0,0,0.1,True
gpu-002,2026-09-01T06:00:00Z,0,6,1,2.64,9.89,5.58,44.7,0,0,0.1,True
gpu-002,2026-09-01T07:00:00Z,0,7,1,6.74,17.66,1.82,72.3,0,0,0.1,True
gpu-002,2026-09-01T08:00:00Z,0,8,1,9.64,16.6,3.07,136.1,0,0,0.1,True
gpu-002,2026-09-01T09:00:00Z,0,9,1,9.62,15.81,2.65,87.6,0,0,0.1,True
gpu-002,2026-09-01T10:00:00Z,0,10,1,6.86,14.43,5.41,54.1,0,0,0.1,True
gpu-002,2026-09-01T11:00:00Z,0,11,1,1.52,15.54,3.26,81.2,0,0,0.1,True
gpu-002,2026-09-01T12:00:00Z,0,12,1,0.7,15.06,3.92,119.6,0,0,0.1,True
gpu-002,2026-09-01T13:00:00Z,0,13,1,6.21,14.6,5.77,60.6,0,0,0.1,True
gpu-002,2026-09-01T14:00:00Z,0,14,1,7.61,9.99,2.74,63.6,0,0,0.1,True
gpu-002,2026-09-01T15:00:00Z,0,15,1,8.35,14.8,3.98,66.8,0,0,0.1,True
gpu-002,2026-09-01T16:00:00Z,0,16,1,5.1,12.71,4.58,70.3,0,0,0.1,True
gpu-002,2026-09-01T17:00:00Z,0,17,1,9.99,9.97,2.79,150.3,0,0,0.1,True
gpu-002,2026-09-01T18:00:00Z,0,18,1,4.69,11.06,4.33,85.7,0,0,0.1,True
gpu-002,2026-09-01T19:00:00Z,0,19,1,3.49,11.71,8.15,92.5,0,0,0.1,True
gpu-002,2026-09-01T20:00:00Z,0,20,1,0.22,19.48,4.92,77.0,0,0,0.1,True
gpu-002,2026-09-01T21:00:00Z,0,21,1,3.2,17.02,3.63,42.2,0,0,0.1,True
gpu-002,2026-09-01T22:00:00Z,0,22,1,11.36,13.7,6.24,138.4,0,0,0.1,True
gpu-002,2026-09-01T23:00:00Z,0,23,1,3.0,18.1,3.02,44.0,0,0,0.1,True
gpu-002,2026-09-02T00:00:00Z,1,0,2,4.73,16.19,3.31,90.8,0,0,0.1,True
gpu-002,2026-09-02T01:00:00Z,1,1,2,9.43,15.32,2.74,121.1,0,0,0.1,True
gpu-002,2026-09-02T02:00:00Z,1,2,2,6.59,7.44,4.64,111.8,0,0,0.1,True
